snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260606T202545-0400,2026-06-07T00:25:45.628940+00:00,2026-06-06T20:25:45.628940-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:17:01.948204Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,92-93°F,eq,92,2.591712576388367e-08,0.0005,0.9995,-0.0004999740828742362,,0.001,0.001,4300.249317000001,8605.47363,active,86.0,81.0,86.0,,80.0,77.7,
20260606T202545-0400,2026-06-07T00:25:45.628940+00:00,2026-06-06T20:25:45.628940-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:17:01.948204Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,94°F or higher,gte,94,4.8592249170477365e-11,0.0005,0.9995,-0.0004999999514077509,,0.001,0.004,2453.330053,8710.21476,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,75°F or below,lte,75,0.0,0.0005,0.9995,-0.0005,,0.001,0.002,228.088,14700.92132,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,76-77°F,eq,76,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,2150.63581,15206.3308,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,78-79°F,eq,78,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,892.5922,12439.02618,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,80-81°F,eq,80,0.0,0.0005,0.9995,-0.0005,,0.001,0.013,12635.308030000002,13934.00962,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,82-83°F,eq,82,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,5541.607251,17647.99536,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,84-85°F,eq,84,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,9562.292693999998,16822.2036,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,86-87°F,eq,86,0.9889890104214264,0.9995,0.0005,-0.01051098957857366,0.999,1.0,0.999,6080.538153999997,2384.89773,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,88-89°F,eq,88,0.01099331708463903,0.0005,0.9995,0.010493317084639029,,0.001,0.013,7880.826736000002,3334.20198,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,90-91°F,eq,90,1.7646528216617778e-05,0.0005,0.9995,-0.00048235347178338225,,0.001,0.003,5000.245106000001,5102.07217,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,92-93°F,eq,92,2.591712576388367e-08,0.0005,0.9995,-0.0004999740828742362,,0.001,0.001,4300.249317000001,8605.47363,active,86.0,81.0,86.0,,80.0,77.7,
20260606T203610-0400,2026-06-07T00:36:10.027630+00:00,2026-06-06T20:36:10.027630-04:00,highest-temperature-in-miami-on-june-6-2026,2026-06-07T00:34:42.261773Z,v0.5.0 HGBC feature-based ML model,86,0.9776936213620616,94°F or higher,gte,94,4.8592249170477365e-11,0.0005,0.9995,-0.0004999999514077509,,0.001,0.004,2453.330053,8751.9137,active,86.0,81.0,86.0,,80.0,77.7,
